id,Player,Sixes,Country
1,ChrisGayle,326,WI
2, AB de Villiers,212,SA
3, MS Dhoni,209,Ind
4, Rohit Sharma,194,Ind
5, Suresh Raina,194,Ind
6, Virat Kohli,191,Ind
7, David Warner,181,Aus
8, Shane Watson,177,Aus
9, Kieron Pollard,176,WI
10, Yusuf Pathan,158,Ind
11, Robin Uthappa,156,Ind
12, Yuvraj Singh,149,Ind
13, Brendon McCullum,130,NZ
14, Andre Russell,120,WI
15, Ambati Rayudu,120,Ind
16, Dwayne Smith,117,WI
17, Virender Sehwag,106,Ind
18, Dinesh Karthik,101,Ind
19, Shikhar Dhawan,96,Ind
20, Rishabh Pant,94,Ind
21, Adam Gilchrist,92,Aus
22, Glenn Maxwell,91,Aus
23, Murali Vijay,91,Ind
24, Sanju Samson,89,Ind
25, David Miller,87,SA
26, KL Rahul,81,Ind
27, JP Duminy,79,SA
28, Naman Ojha,79,Ind
29, Shaun Marsh,78,Aus
30, Manish Pandey,75,Ind
